State Postal Code,County Name,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
TX,McLennan County,25482931,5849656,6372331,3874334,4347626,3462234,785438,410318,349023,23379,8592
IN,Orange County,2439633,550982,674776,199814,380552,392201,157101,69793,11653,2403,358
IA,Poweshiek County,1863768,358975,455518,182062,248736,348890,156308,80150,28622,3510,997
KY,Logan County,3234868,624216,516043,453022,612838,609656,327233,68368,19077,3185,1230
MS,Franklin County,756647,173341,163599,88739,102784,105740,87765,25283,8459,684,253
TN,Davidson County,75371358,22251569,17829148,9571900,12331982,10154903,1926196,596774,530120,103965,74801
IL,Randolph County,4228859,965241,1051305,474469,474429,740807,329782,147189,38462,6373,802
MN,Pope County,1581306,324459,425049,124019,224981,327401,84284,49156,19190,1868,899
SD,Custer County,1074458,241231,197908,188737,118398,161701,128725,25433,7301,4766,258
KS,Mitchell County,691285,162475,198017,34962,106518,120508,37485,22198,8399,595,128
MS,Calhoun County,1297686,394769,264248,75783,180826,211080,114407,35665,13983,6225,700
TX,Winkler County,989627,277510,243823,49736,90657,156109,86144,67127,11071,6155,1295
PA,Clearfield County,8197920,1968573,2071587,697894,1195822,1400976,524479,206456,116135,14935,1063
FL,Liberty County,814566,115419,122500,84215,140044,198144,89338,60351,2305,2087,163
LA,Franklin Parish,2323938,570856,643244,233603,339074,282807,169474,50472,22905,4592,6911
ID,Kootenai County,15819733,4158463,4152159,1821401,2614694,2028143,751410,164259,73520,32475,23209
TN,Montgomery County,23101468,6014889,5617870,2786212,4312104,2765257,809948,629925,117667,35601,11995
TN,Williamson County,23048560,5579563,5511163,3048737,3253336,3934061,1220467,267743,156356,37950,39184
MN,Cook County,635250,193173,102230,57200,83601,122525,52794,13119,9645,744,219
OH,Trumbull County,20371949,5170246,4915956,2341707,3761951,2777768,768255,443514,165805,18872,7875
TN,Claiborne County,3661604,731645,872815,441317,577132,631853,246234,98032,55060,6778,738
GA,Hart County,2772062,504587,710383,386098,561164,423847,115763,50641,14933,2967,1679
IA,Allamakee County,1963979,325544,509023,278715,301648,358682,135329,38223,15591,1037,187
NE,Keya Paha County,47322,7542,1810,7878,4418,9980,13754,949,915,76,0
ND,Nelson County,316159,47851,80314,25154,39551,61807,31631,27522,1913,398,18
MI,Lenawee County,9992458,2407568,2347937,1098347,1225774,1888526,700467,245719,60400,14161,3559
FL,Gadsden County,5511358,1157443,1283302,645480,885368,965701,419789,100506,40519,11816,1434
WI,Juneau County,3377690,721575,710391,337951,555605,615326,250417,115464,59590,9816,1555
TN,Lewis County,1270981,221761,256125,170486,187305,241358,120081,54553,12443,6125,744
TX,Dallas County,246821983,72545509,55539341,28031007,35298966,38210865,11852198,2643524,1832797,418769,449007
MA,Nantucket County,2566162,936569,992299,304002,264507,38931,23237,3842,1095,510,1170
OR,Clackamas County,40829676,10324644,9920959,4527875,6368032,7048285,1793671,475836,275372,45302,49700
AR,Lafayette County,642172,103398,126881,63874,173642,86578,57928,14540,13803,1471,57
MT,Powell County,673397,249098,133424,38027,55739,49482,114819,21353,8271,2644,540
NJ,Salem County,7257365,1830898,1577570,789491,1244558,1233545,429278,110216,34936,4924,1949
OK,Seminole County,2956194,818069,698273,328595,310802,515966,147722,110403,19281,4859,2224
VA,Culpeper County,5267881,1206499,1190516,687372,682478,824932,416187,212429,37989,5372,4107
IN,Clark County,13700276,3578282,3418419,1843035,2137467,2006675,434720,125870,129963,19388,6457
SC,Dillon County,3230919,729300,788120,411113,593917,382261,201978,81858,36671,5236,465
NC,Yancey County,1943847,306077,346172,260888,392472,454470,146957,22164,12890,1552,205
SC,Aiken County,18665265,4646359,4587705,2596126,3056140,2713469,682843,231010,130114,16609,4890
PA,Berks County,42544101,10619653,9396324,5438807,7202094,6538984,2074724,894169,344263,22860,12223
MN,Douglas County,4750498,922447,1463504,500650,749399,701194,205219,120784,77357,6303,3641
MI,Oceana County,3415848,768425,842442,438964,520210,543340,200287,68250,29810,2711,1409
MN,Grant County,844935,244042,107782,51264,106793,186799,121389,16446,9862,503,55
TN,Clay County,809186,146576,137533,134193,134553,144108,82017,20977,7414,1232,583
NC,Pasquotank County,4083274,1034157,961349,589060,730219,360621,255374,108005,38392,5318,779
PA,Dauphin County,28815679,7973079,7298577,3847014,4637577,3322733,964717,418383,327938,16521,9140
OH,Auglaize County,5141675,1401359,1105959,479498,772001,1024500,202938,98581,46898,5110,4831
IL,Jasper County,1291516,312728,214442,104028,210434,269782,115916,35429,25015,3376,366
TN,Grainger County,2923417,635016,573907,284072,526201,628393,186391,55924,26763,5101,1649
NC,Anson County,2655137,509499,622537,354887,341776,432540,284127,80191,28191,1166,223
WI,Manitowoc County,9891250,2980708,2565104,1109094,1122682,1268187,600048,157271,76877,6336,4943
OK,Kiowa County,1043990,181122,288323,122905,121990,169222,111283,30267,15900,1804,1174
SD,Kingsbury County,666726,192066,79271,33450,168102,93823,64553,31709,3200,200,352
KS,Butler County,7590253,2009435,1664931,556446,995366,1764504,430274,86408,70122,9808,2959
TX,Borden County,30789,8419,5818,2148,3778,5012,4607,540,425,42,0
MN,Freeborn County,3856598,959701,872210,406916,424850,761211,290209,99294,37150,4318,739
ND,Rolette County,1898118,471045,430878,285370,255009,300772,95087,37153,21662,809,333
IN,St. Joseph County,29577910,8441860,7332967,4076608,4879463,3228232,1065695,332017,172152,34682,14234
ND,Dunn County,529069,105008,62168,23165,62578,191091,50649,27378,5334,650,1048
NE,Pawnee County,326474,51575,56718,14126,73723,49663,45440,27695,6494,847,193
VT,,78346298,17173856,18740602,9642191,12328760,13580825,5167596,1266621,366548,50185,29114
KY,Owsley County,667538,122033,141420,181891,101425,90751,21539,5729,2476,60,214
VA,Williamsburg city,1734437,500457,477661,222525,227082,172520,86763,39175,7148,719,387
TX,Denton County,79741505,20271743,17326200,9866665,12367024,13423652,4856100,925885,460330,106031,137875
ID,Butte County,249252,75086,36458,9412,18766,84792,8223,10576,5210,521,208
AR,Yell County,2120759,424387,273316,316973,492188,401266,131903,60909,18506,1142,169
ID,,190738897,47584374,48061556,22708049,29125042,28201937,9033153,3685066,1710548,423482,205690
IN,Putnam County,4470008,1014278,1117120,491089,636498,639167,422024,125406,18488,4606,1332
KY,Gallatin County,1400413,308361,284028,309041,185306,183427,105732,14249,8182,1568,519
MN,Chippewa County,1328409,286531,325378,131531,116017,271093,130420,51540,14904,718,277
ME,Cumberland County,30760190,7637097,7791349,3990779,4902718,4630587,1215785,380647,188207,9021,14000
TX,Lamb County,1305523,372361,373352,71307,148040,135330,142000,42901,16938,2128,1166
IL,McHenry County,36135268,9760555,7790011,4057585,5240387,5905042,2584408,597197,141288,36007,22788
CA,Calaveras County,4088512,705034,644000,559999,669099,880394,438995,156398,27739,5380,1474
NY,Yates County,3412161,730065,737759,343608,505071,718448,255042,89423,26522,4821,1402
IL,Williamson County,8120627,2196075,1899370,742610,1450648,1141243,436798,152356,87114,12832,1581
LA,Jefferson Parish,52833653,16825490,13629786,6910498,8044505,5278657,1157626,648544,248049,54876,35622
LA,East Feliciana Parish,2267594,391834,475044,235530,430600,398617,261735,47969,19252,5520,1493
ID,Canyon County,21722396,5140786,5230531,2616183,3300167,3944681,955123,257844,200039,60957,16085
TX,Callahan County,1355955,366093,257979,130410,162094,283806,94657,30077,28385,1780,674
TX,Reeves County,1865694,519172,421501,130841,181969,296762,173536,89095,40036,9067,3715
TX,Polk County,4752128,1073203,864790,552225,660067,960069,325110,236586,71126,7446,1506
NM,Guadalupe County,446145,67867,143451,19379,65719,78399,30224,23966,16093,565,482
GA,Stephens County,2066851,416817,433078,215083,313503,342880,212416,112618,17565,2479,412
TN,Giles County,3307726,711078,712146,398795,526698,542187,281207,105907,24264,4843,601
KS,Phillips County,687798,140221,241254,60355,61071,101001,45375,28209,8059,2146,107
KY,Washington County,1708870,294915,379148,244059,241301,329393,158326,48605,10772,1793,558
TX,Live Oak County,1375462,290578,287803,105379,254692,256210,105305,55741,17593,1588,573
NC,Wilson County,9026706,2401202,2325284,1207421,1252903,1044964,483777,225203,70624,11132,4196
WV,Monroe County,1369054,397436,234841,127888,241530,233505,72449,32512,22320,5093,1480
TN,Overton County,2574965,400825,483511,387749,442456,588440,173945,59688,30314,6557,1480
IN,Grant County,7694420,2045086,1951399,955574,1265578,830458,371342,193567,72259,7233,1924
NY,Ontario County,17140822,4632852,3852925,1737762,2549363,3098539,988263,201348,59355,11003,9412
AR,Bradley County,910341,163239,164081,144424,191847,126202,57068,42528,20086,866,0
MO,Madison County,1040399,170625,272039,157758,127289,171203,81714,45095,10599,3108,969
MT,Sanders County,1094078,218230,284487,49187,121081,233705,91329,75932,16866,2190,1071
SD,Potter County,208349,80807,23985,8066,15063,46398,14269,14859,4884,0,18
FL,Wakulla County,3942739,677498,676243,542666,724772,826717,399493,54952,35294,4067,1037
ND,Benson County,765092,120661,74885,62920,183174,208819,92972,10187,9417,742,1315
CO,Las Animas County,1768298,492520,353111,121909,327156,298372,92665,39494,40650,916,1505
GA,Chattahoochee County,1750869,542940,309795,180038,285233,279064,104042,38717,8723,1275,1042
KY,Whitley County,3967921,789680,993280,519468,712957,715674,135994,59101,30570,10224,973
UT,Wayne County,392482,90553,96281,19310,33433,60701,54742,32388,4592,482,0
NC,Washington County,1288338,309191,256021,142961,142242,214639,132836,73281,14359,2288,520
TN,Weakley County,3343921,575101,709214,393418,503091,707238,339977,66167,40435,7956,1324
AR,Faulkner County,11468999,2644299,2680895,1406010,1712074,1635441,942818,273978,147606,20310,5568
WI,Oneida County,4542418,1176650,960959,502025,675272,746891,318105,108470,44456,7991,1599
CO,Bent County,588383,120036,134027,37516,68414,102260,95061,10182,20658,142,87
TX,Irion County,155497,25026,32893,13506,11351,29747,31463,8455,2757,169,130
TN,Anderson County,7801553,1807465,1985367,950882,1192741,1421873,274194,85762,68812,11063,3394
IL,Jackson County,7190107,1838485,1850520,864673,1010327,1091714,341253,121752,62400,7454,1529
MO,Saline County,2484272,660193,653028,210983,276007,355259,217082,86388,21823,2131,1378
KY,,559451718,137474114,132095161,72961307,92021611,81360030,27781298,9900440,4719280,839651,298826
ND,Wells County,356923,107119,65248,33588,36110,65706,28356,14937,5429,312,118
NE,Phelps County,1017029,254206,218943,104143,124189,133233,132680,30326,17888,1285,136
NY,Seneca County,5085504,1112563,1191936,622211,838625,962823,248757,77369,28047,1637,1536
SC,Oconee County,9075892,2317960,2036404,1081993,1632838,1371366,409247,147939,65049,9913,3183
NV,Humboldt County,1393258,325421,303158,109000,199224,189645,92454,127149,39581,5822,1804
MO,Pike County,1695754,411051,398383,136669,192409,310651,133684,91571,16903,3345,1088
MI,Wayne County,182457306,57869010,39135092,21505979,28575110,26823057,5820786,1417213,970308,233501,107250
NM,Curry County,6435087,2133938,2174724,709115,605275,459980,166730,81999,80247,19550,3529
TN,Warren County,5000206,1136397,1277171,546139,786855,748079,338176,141393,19673,5706,617
WA,Klickitat County,2130986,377210,454237,155734,386211,430679,205219,80837,31972,4172,4715
WV,Monongalia County,10110801,2642012,2565540,1469483,1615785,1101253,431338,208406,65126,6600,5258
NM,Hidalgo County,609713,230094,120559,53837,38603,58657,63311,34664,9101,698,189
OR,Wasco County,2419198,597366,720585,243904,210262,376816,188168,66594,10812,2312,2379
MO,Pulaski County,6305864,1698170,1666592,654737,1101323,676454,277230,152700,67364,6088,5206
FL,Okeechobee County,5127676,1395872,1234424,596668,700685,633342,361173,150619,49075,2922,2896
FL,Martin County,19696735,5589001,4905411,2753171,3159228,2196771,771266,187836,98276,10205,25570
TX,Sabine County,918153,176680,164666,78225,199439,189461,47241,41863,17117,2440,1021
CA,El Dorado County,15247417,3638632,3557608,1736666,2076676,2680266,1059035,322818,130023,24475,21218
OH,Van Wert County,2998995,697926,702620,416902,395975,505406,193136,54120,29305,2260,1345
VA,Tazewell County,3970894,713642,1055068,610675,756309,575845,156331,52553,42778,6277,1416
AL,Shelby County,18256758,4007371,3776653,2304508,3053467,3592816,1010996,302718,165553,35527,7149
OR,Jefferson County,2469185,467301,681909,247933,256654,506120,223690,53478,27841,3045,1214
VA,Norton city,374449,142891,91184,24971,59690,35379,12899,4005,3180,250,0
NE,Keith County,825624,207565,182217,79169,138479,128070,45358,30391,11458,2268,649
IL,Bond County,1990979,386259,482169,208356,255798,346430,193707,93594,20676,3342,648
WY,Hot Springs County,585845,346635,83478,9957,15418,77786,37917,11161,3165,238,90
KY,Floyd County,3692106,581238,847815,539671,721556,692713,197691,75280,30911,5038,193
GA,Hancock County,1156318,253735,230916,142731,204048,155250,111044,31825,22228,3805,736
TN,Greene County,7543148,1586400,1754985,872414,1444541,1307114,392744,116497,46788,18460,3205
IN,Scott County,2627903,586896,640846,364512,392215,362249,215169,50733,13053,1527,703
VA,Wise County,3487932,795481,717901,550966,487711,649946,199199,49751,28531,7987,459
TN,White County,3250527,519174,676412,439725,560533,713278,226962,82575,22686,8507,675
MN,Pennington County,1556106,468283,496319,98578,82561,223902,84091,73405,24526,3832,609
MO,Cole County,8325547,2132005,1986647,1253601,1258992,1001679,425521,166432,89836,7626,3208
NC,Edgecombe County,6087028,1352264,1464325,790320,826200,1042018,370025,157752,68759,14312,1053
PA,Erie County,30591139,9237890,7874280,3905483,4647552,3601744,836687,272240,175758,29262,10243
MS,Winston County,1864376,446960,455464,240755,232445,274562,122446,57288,30213,2590,1653
KY,Union County,1828865,322178,445175,282961,290087,334022,107684,29121,14457,1460,1720
NY,Schoharie County,4523730,943480,926104,438182,833878,758836,474996,104847,38553,3383,1471
TX,Victoria County,9812533,2677080,2704470,1366890,1241064,1008787,489978,190689,116998,10784,5793
LA,Livingston Parish,16322304,3564427,3381546,1967573,2860691,3224692,885647,326937,78992,19415,12384
MD,Baltimore city,59790870,20285502,15109842,8080630,8391236,5115253,1926189,490297,288381,77261,26279
TX,Mills County,530286,147939,108478,26866,70278,105823,45112,16853,8231,578,128
MT,Roosevelt County,1131266,408885,313209,60396,64785,97321,120233,55949,7285,2918,285
CA,San Benito County,5619113,1640112,1356356,439238,497933,872654,488509,239365,66846,14366,3734
CO,Summit County,4661976,1222404,1048916,726129,836524,588244,119639,92321,19367,2590,5842
OH,Vinton County,1616998,230247,352078,265960,226931,308905,171660,40857,18208,2111,41
GA,Forsyth County,20824239,5460588,4288686,2368055,3652134,3422690,1161774,272253,124586,36554,36919
TN,Wayne County,1864176,329723,290405,270936,348674,308627,208342,86675,18597,1518,679
GA,Troup County,6818380,1570677,1565269,929425,1185154,922073,396429,188586,46544,9442,4781
MN,Isanti County,5018475,1083954,963733,524863,672023,897663,639323,194937,36018,3405,2556
MO,Gentry County,689080,130445,92684,173002,91550,100226,63644,30692,5389,1178,270
MT,Glacier County,1064716,391242,329432,63929,58873,122026,42987,35910,19493,739,85
TX,Austin County,3555417,797366,625973,408761,710762,565294,261398,139168,40000,5254,1441
VT,Orleans County,3039380,531789,745285,440896,451149,573683,171382,103176,19848,1286,886
TX,Somervell County,757321,159267,114427,89732,133933,137622,76579,36592,6856,1673,640
SD,Fall River County,599040,142488,120975,94845,46183,77798,54458,42427,14495,4505,866
TX,Hunt County,9381426,2096059,2165861,1045518,1232244,1596704,797720,343066,80795,17490,5969
AR,Lee County,930510,249749,245108,82769,117214,147321,35282,34628,14765,3674,0
MI,Menominee County,2757824,628868,524539,351266,407482,460782,251873,78642,47560,5797,1015
IL,Edgar County,2009933,520578,499189,162598,234325,361731,173285,31625,23726,1881,995
GA,Putnam County,2242689,488557,432832,276180,358644,438484,163646,70149,11553,1963,681
TX,Taylor County,13882289,3795471,3749174,2267540,2134342,1204045,340583,196156,166519,15387,13072
WV,Jefferson County,5269599,1180464,1212369,664916,842723,728346,416092,186937,27096,8200,2456
CO,San Juan County,24595,1997,1408,17454,1890,1383,177,259,27,0,0
TX,Lubbock County,31674674,8171055,7915618,4896076,6383474,2880407,600626,430488,297120,71487,28323
GA,Chattooga County,2358669,468635,536172,307946,285464,373275,297339,61878,25213,2433,314
FL,Manatee County,45742833,13204116,10945168,6268156,8000971,5373298,1418784,326896,143019,28460,33965
WV,Raleigh County,6120567,1442494,1641061,707718,977384,890872,249549,131318,57116,19640,3415
UT,Summit County,3917197,918150,802648,461578,608567,618871,359247,59817,20503,10186,57630
MS,Smith County,1787211,349625,413515,158738,259064,330044,178307,70434,18310,7755,1419
