County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Seminole ,OK,9317,640,3552,3180,1348,597
Sequoyah ,OK,15474,841,4709,5957,2692,1275
Stephens ,OK,16720,1015,4998,6529,2894,1284
Texas ,OK,6768,301,2084,2784,1066,533
Tillman ,OK,2807,135,883,1156,349,284
Tulsa ,OK,252661,16806,89863,96786,35132,14074
Wagoner ,OK,29208,919,7403,11866,5849,3171
Washington ,OK,20455,1079,6700,7707,3371,1598
Washita ,OK,4224,225,1166,1699,765,369
Woods ,OK,3281,204,869,1351,619,238
Woodward ,OK,7495,256,2141,2965,1466,667
Baker ,OR,6921,407,1907,2615,1172,820
Benton ,OR,35718,2508,10910,13796,5572,2932
Clackamas ,OR,157408,8561,40601,62742,29531,15973
Clatsop ,OR,15800,1150,5509,5807,2291,1043
Columbia ,OR,19671,1066,4912,6812,4109,2772
Coos ,OR,27025,2094,8690,9989,4373,1879
Crook ,OR,9588,314,2305,3855,1896,1218
Curry ,OR,10546,676,3579,3743,1789,759
Deschutes ,OR,74397,2864,19062,31408,14328,6735
Douglas ,OR,45456,2762,13116,16196,8154,5228
Gilliam ,OR,842,52,193,360,136,101
Grant ,OR,3381,120,1065,1191,635,370
Harney ,OR,3244,105,880,1098,778,383
Hood River ,OR,8600,418,1967,3235,1928,1052
Jackson ,OR,88241,5979,27053,33127,14604,7478
Jefferson ,OR,8094,309,2025,3030,1773,957
Josephine ,OR,36367,2052,9919,13757,6628,4011
Klamath ,OR,27886,1742,8198,10413,4896,2637
Lake ,OR,3515,231,1071,1049,772,392
Lane ,OR,152312,12686,50706,55299,22955,10666
Lincoln ,OR,21298,1404,8208,7948,2478,1260
Linn ,OR,47762,2651,13704,16882,9343,5182
Malheur ,OR,10062,699,3005,3504,1885,969
Marion ,OR,118038,6925,36961,45698,18547,9907
Morrow ,OR,4108,92,745,1673,1092,506
Multnomah ,OR,326229,42027,123966,111031,34216,14989
Polk ,OR,30305,1536,8022,12490,5143,3114
Sherman ,OR,748,36,174,249,217,72
Tillamook ,OR,10784,767,3062,4479,1689,787
Umatilla ,OR,26908,1602,6783,10211,5500,2812
Union ,OR,10708,588,2850,3925,2138,1207
Wallowa ,OR,3214,234,656,1196,648,480
Wasco ,OR,10305,676,2904,3671,1975,1079
Washington ,OR,219053,12723,69383,91316,32216,13415
Wheeler ,OR,640,27,145,242,168,58
Yamhill ,OR,36808,1862,9815,14397,6792,3942
Adams ,PA,39345,1796,10256,15676,7754,3863
Allegheny ,PA,541541,71312,209689,191168,52355,17017
Armstrong ,PA,28137,2105,8780,10705,4346,2201
Beaver ,PA,71167,6052,24422,25959,10228,4506
Bedford ,PA,19882,1069,5546,7368,3897,2002
Berks ,PA,154712,12917,46054,57783,26187,11771
Blair ,PA,52126,4452,18683,19250,6954,2787
Bradford ,PA,25021,1977,7455,9640,4092,1857
Bucks ,PA,238830,11652,67596,100857,39444,19281
Butler ,PA,76502,4894,21455,31665,12642,5846
Cambria ,PA,56674,6061,20018,19843,7448,3304
Cameron ,PA,2184,223,844,765,240,112
Carbon ,PA,26043,1496,8139,9635,4406,2367
Centre ,PA,58201,5321,20644,21548,7438,3250
Chester ,PA,190980,8649,51743,84284,32834,13470
Clarion ,PA,16021,1400,5077,6157,2470,917
Clearfield ,PA,31248,2461,10107,12124,4483,2073
Clinton ,PA,14690,1450,4495,5309,2299,1137
Columbia ,PA,26372,1721,8857,9418,4552,1824
Crawford ,PA,35164,3250,11760,13894,4426,1834
Cumberland ,PA,99804,6083,31843,40068,15910,5900
Dauphin ,PA,112212,10990,41062,39760,14621,5779
Delaware ,PA,207257,21709,73998,78134,24038,9378
Elk ,PA,14020,925,4584,5737,2081,693
Erie ,PA,110318,12100,41237,39922,12331,4728
Fayette ,PA,54837,4458,18937,19181,8375,3886
Forest ,PA,1839,94,732,738,205,70
Franklin ,PA,60438,3405,16564,24077,10691,5701
Fulton ,PA,5989,381,1371,2087,1273,877
Greene ,PA,14230,1219,4198,5626,2140,1047
Huntingdon ,PA,16779,1135,4451,6199,3391,1603
Indiana ,PA,33246,3025,10396,12701,4849,2275
Jefferson ,PA,18427,1537,6482,6827,2418,1163
Juniata ,PA,9372,729,2347,3393,1741,1162
Lackawanna ,PA,87161,8609,33443,31092,10035,3982
Lancaster ,PA,201620,20315,57855,79515,29910,14025
Lawrence ,PA,37055,3054,13040,13763,5008,2190
Lebanon ,PA,53579,3603,17263,20855,8266,3592
Lehigh ,PA,138714,12038,46215,51995,19448,9018
Luzerne ,PA,128660,13476,46579,45101,16067,7437
Lycoming ,PA,45608,3971,14172,17796,6938,2731
McKean ,PA,17147,1567,6445,6393,2077,665
Mercer ,PA,46340,4630,16404,16301,6317,2688
Mifflin ,PA,19043,2118,5598,6967,2806,1554
Monroe ,PA,57098,2999,17012,22550,9888,4649
Montgomery ,PA,316206,18573,99439,134064,45597,18533
Montour ,PA,7404,1016,2362,2411,1148,467
Northampton ,PA,114185,7856,33415,45319,18516,9079
Northumberland ,PA,39075,4141,12348,14038,6124,2424
Perry ,PA,18231,918,4699,6846,3956,1812
Philadelphia ,PA,601337,180846,262113,122519,27117,8742
Pike ,PA,22119,815,6989,9074,3400,1841
Potter ,PA,6480,507,2239,2504,894,336
Schuylkill ,PA,58749,5283,19101,21081,8930,4354
Snyder ,PA,14794,1043,4151,5584,2350,1666
Somerset ,PA,29644,2231,9087,11310,4932,2084
Sullivan ,PA,2723,173,762,1074,517,197
Susquehanna ,PA,17235,887,5324,6931,2926,1167
Tioga ,PA,16310,1119,4930,6479,2727,1055
Union ,PA,14533,1290,4662,5471,2120,990
Venango ,PA,22050,1705,7867,8431,2982,1065
Warren ,PA,17115,1083,6535,6316,2443,738
Washington ,PA,84948,6394,26297,33722,12695,5840
Wayne ,PA,18841,914,6196,7553,2799,1379
Westmoreland ,PA,152283,11399,49057,60337,22286,9204
Wyoming ,PA,10790,550,3472,4092,1753,923
York ,PA,172421,9790,49383,69088,29762,14398
Bristol ,RI,19217,1194,5964,7826,2909,1324
Kent ,RI,69422,4156,23086,28514,9707,3959
Newport ,RI,34777,2524,12159,13603,4411,2080
Providence ,RI,237971,28810,92800,81955,24396,10010
Washington ,RI,49102,2075,14053,20593,8618,3763
Abbeville ,SC,9660,1018,2755,3023,1979,885
Aiken ,SC,67598,4000,21090,26170,10986,5352
Allendale ,SC,3365,626,1202,895,473,169
Anderson ,SC,76798,5120,22259,27785,14632,7002
Bamberg ,SC,5334,741,1796,1845,602,350
Barnwell ,SC,8360,1036,3004,2482,1215,623
Beaufort ,SC,71477,3032,25442,31810,8358,2835
Berkeley ,SC,76881,3199,22279,33209,13270,4924
Calhoun ,SC,6179,469,1891,2079,1099,641
Charleston ,SC,159195,10907,58999,63567,19486,6236
Cherokee ,SC,20699,1875,7478,6332,3311,1703
Chester ,SC,12653,1069,3744,4519,2171,1150
Chesterfield ,SC,17900,1619,4937,6131,3290,1923
Clarendon ,SC,13161,1316,3929,4747,2188,981
Colleton ,SC,15075,926,5222,5017,2842,1068
Darlington ,SC,26484,2682,8796,8768,3991,2247
Dillon ,SC,11029,1340,4043,3054,1672,920
Dorchester ,SC,55351,1931,18086,22601,8994,3739
Edgefield ,SC,9176,546,2609,3161,1965,895
Fairfield ,SC,9191,674,2753,3392,1474,898
Florence ,SC,52188,4357,17646,18888,8109,3188
Georgetown ,SC,25498,1951,8340,9093,4237,1877
Greenville ,SC,192975,11216,62554,78379,28551,12275
Greenwood ,SC,27612,2107,9720,9897,4059,1829
Hampton ,SC,6993,475,2757,2418,752,591
Horry ,SC,131143,5887,47538,55474,16652,5592
Jasper ,SC,10269,451,4177,3761,1378,502
Kershaw ,SC,24980,921,7544,9155,4831,2529
Lancaster ,SC,33899,1647,10605,14117,5526,2004
Laurens ,SC,25563,1803,8094,9273,4073,2320
Lee ,SC,6423,698,2230,1823,1090,582
Lexington ,SC,113104,5652,33753,44405,20614,8680
McCormick ,SC,3957,302,1297,1492,575,291
Marion ,SC,11600,1506,3760,4066,1529,739
Marlboro ,SC,9613,1271,3388,3059,1303,592
Newberry ,SC,14810,1112,4010,5836,2452,1400
Oconee ,SC,31978,1971,9207,11805,6432,2563
Orangeburg ,SC,33060,2661,11412,10396,6278,2313
Pickens ,SC,47934,3033,13902,17771,8774,4454
Richland ,SC,151853,10329,56099,56664,20115,8646
Saluda ,SC,7094,396,1977,2571,1274,876
Spartanburg ,SC,116645,6720,35822,44269,19679,10155
Sumter ,SC,41776,3551,12835,15085,7015,3290
Union ,SC,11432,938,3829,3978,1948,739
Williamsburg ,SC,12686,1564,4283,4074,1854,911
York ,SC,101211,4121,29346,41611,18196,7937
Aurora ,SD,1182,16,242,376,352,196
Beadle ,SD,7557,443,2481,2559,1231,843
Bennett ,SD,984,75,314,340,189,66
Bon Homme ,SD,2536,116,548,849,658,365
Brookings ,SD,12896,588,3829,4796,2167,1516
Brown ,SD,16305,1228,4712,6068,3038,1259
Brule ,SD,2231,140,544,851,328,368
Buffalo ,SD,564,89,189,163,57,66
Butte ,SD,4164,220,1087,1345,856,656
Campbell ,SD,673,16,131,249,136,141
Charles Mix ,SD,3166,191,862,1069,603,441
Clark ,SD,1546,69,364,575,284,254
Clay ,SD,5233,225,1612,1916,881,599
Codington ,SD,12075,576,3215,4733,2382,1169
Corson ,SD,1195,166,330,333,183,183
Custer ,SD,3876,86,754,1438,916,682
Davison ,SD,8660,639,2434,2795,1688,1104
Day ,SD,2574,80,730,916,427,421
Deuel ,SD,1798,35,372,632,458,301
Dewey ,SD,1651,119,596,480,301,155
Douglas ,SD,1220,52,187,448,291,242
Edmunds ,SD,1544,56,255,658,375,200
Fall River ,SD,2986,186,871,959,592,378
Faulk ,SD,895,24,205,308,178,180
Grant ,SD,3218,87,886,1163,552,530
Gregory ,SD,1840,84,416,528,402,410
Haakon ,SD,822,60,190,260,162,150
Hamlin ,SD,2256,66,367,831,537,455
Hand ,SD,1508,55,370,503,335,245
Hanson ,SD,1045,10,198,254,287,296
Harding ,SD,532,4,93,181,131,123
Hughes ,SD,7460,488,2409,2636,1366,561
Hutchinson ,SD,2903,161,679,933,665,465
Hyde ,SD,597,12,131,243,155,56
Jackson ,SD,858,91,284,257,160,66
Jerauld ,SD,921,33,206,343,191,148
Jones ,SD,408,9,91,144,61,103
Kingsbury ,SD,2279,69,448,871,528,363
Lake ,SD,4700,148,1250,1788,769,745
Lawrence ,SD,11048,808,3175,4089,1827,1149
Lincoln ,SD,19749,286,4581,8424,4311,2147
Lyman ,SD,1397,97,262,511,309,218
McCook ,SD,2228,57,365,762,578,466
McPherson ,SD,1030,37,294,339,220,140
Marshall ,SD,1873,40,454,681,415,283
Meade ,SD,11027,218,2684,4008,2572,1545
Mellette ,SD,661,90,143,174,149,105
Miner ,SD,948,12,243,313,243,137
Minnehaha ,SD,76819,4244,24792,29759,12046,5978
Moody ,SD,2640,94,639,817,640,450
Oglala Lakota ,SD,2729,467,995,810,275,182
Pennington ,SD,44074,2455,13431,16202,7921,4065
Perkins ,SD,1284,52,272,465,311,184
Potter ,SD,982,4,203,434,233,108
Roberts ,SD,3873,195,1073,1445,719,441
Sanborn ,SD,1010,29,174,365,197,245
Spink ,SD,2624,77,698,896,480,473
Stanley ,SD,1344,12,304,599,278,151
Sully ,SD,569,14,133,189,159,74
Todd ,SD,2700,573,951,630,292,254
Tripp ,SD,2356,102,583,658,602,411
Turner ,SD,3498,121,759,1089,918,611
Union ,SD,6619,131,1876,2675,1320,617
Walworth ,SD,2258,42,744,780,411,281
Yankton ,SD,9445,585,2821,3420,1768,851
Ziebach ,SD,754,102,216,247,89,100
Anderson ,TN,30541,1711,9542,11107,5342,2839
Bedford ,TN,17029,750,4691,6016,3548,2024
Benton ,TN,6762,469,2512,2360,858,563
Bledsoe ,TN,4894,258,1385,1662,1032,557
Blount ,TN,50557,1986,13563,20262,9033,5713
Bradley ,TN,40192,2238,11962,14787,7047,4158
Campbell ,TN,16192,1364,4645,5668,3027,1488
Cannon ,TN,5488,245,1464,1616,1108,1055
Carroll ,TN,10962,875,3161,3918,2008,1000
Carter ,TN,23784,1763,7389,8601,3945,2086
Cheatham ,TN,15089,477,3251,6363,3171,1827
Chester ,TN,6060,268,1592,2496,1058,646
Claiborne ,TN,13281,759,4392,4476,2389,1265
Clay ,TN,3039,196,920,1129,455,339
Cocke ,TN,14060,679,4544,4257,3078,1502
Coffee ,TN,21646,833,5894,8914,3608,2397
Crockett ,TN,5491,272,1657,2021,1126,415
Cumberland ,TN,25801,1160,8280,10256,4331,1774
Davidson ,TN,282366,18549,108235,107891,34558,13133
Decatur ,TN,4440,180,1353,1717,807,383
DeKalb ,TN,7704,394,2258,3176,1205,671
Dickson ,TN,19198,874,5087,7525,3790,1922
Dyer ,TN,15120,763,5252,5563,2808,734
Fayette ,TN,15596,635,3576,6406,3181,1798
Fentress ,TN,7443,678,1817,2925,1256,767
Franklin ,TN,16326,742,4920,5628,3232,1804
Gibson ,TN,19320,1350,6361,6910,3421,1278
Giles ,TN,11904,416,3422,4365,2498,1203
Grainger ,TN,8959,439,2253,3278,1901,1088
Greene ,TN,27396,1171,7838,10059,5294,3034
Grundy ,TN,4820,333,1310,1649,820,708
Hamblen ,TN,24456,1177,7411,8579,4532,2757
Hamilton ,TN,145213,9407,49824,54358,22693,8931
Hancock ,TN,2742,266,932,804,435,305
Hardeman ,TN,8891,537,2760,3463,1386,745
Hardin ,TN,10137,591,3051,3681,1790,1024
Hawkins ,TN,23135,1334,6654,8061,4505,2581
Haywood ,TN,7181,748,2567,2453,893,520
Henderson ,TN,10711,662,3160,4137,2008,744
Henry ,TN,13394,789,4233,5231,2162,979
Hickman ,TN,8636,364,2477,2960,1931,904
Houston ,TN,2878,141,892,980,575,290
Humphreys ,TN,6763,268,1908,2538,1429,620
Jackson ,TN,4566,253,1327,1557,877,552
Jefferson ,TN,20154,597,5638,7727,3654,2538
Johnson ,TN,6794,514,1965,2201,1368,746
Knox ,TN,187319,11109,59625,74578,28854,13153
Lake ,TN,2243,259,936,676,314,58
Lauderdale ,TN,9675,1131,3288,3376,1270,610
Lawrence ,TN,15960,975,4416,5668,3177,1724
Lewis ,TN,4715,357,1404,1572,1001,381
Lincoln ,TN,13548,1051,3608,4544,2403,1942
Loudon ,TN,20669,1016,5036,8547,3973,2097
McMinn ,TN,20804,1045,6325,7892,3303,2239
McNairy ,TN,10022,455,3218,3748,1657,944
Macon ,TN,9170,329,2497,3412,1748,1184
Madison ,TN,37944,3030,12085,14047,6215,2567
Marion ,TN,11477,575,2912,4025,2579,1386
Marshall ,TN,12324,438,3327,4339,2405,1815
Maury ,TN,34688,1079,9885,13357,6818,3549
Meigs ,TN,4938,276,1218,2000,909,535
Monroe ,TN,17987,561,4908,6902,3306,2310
Montgomery ,TN,72617,2970,20951,30967,11951,5778
Moore ,TN,2592,55,575,1076,644,242
Morgan ,TN,7625,322,1803,2476,1918,1106
Obion ,TN,12717,898,4182,4881,2041,715
Overton ,TN,9140,689,2342,3425,1712,972
Perry ,TN,3073,151,855,1197,668,202
Pickett ,TN,2281,127,590,776,559,229
Polk ,TN,7383,335,2035,2590,1540,883
Putnam ,TN,31424,1697,10160,12075,5083,2409
Rhea ,TN,12177,678,3523,4453,2158,1365
Roane ,TN,20901,1002,5575,7810,4274,2240
Robertson ,TN,25713,877,5873,10340,5569,3054
Rutherford ,TN,111676,3255,29486,47151,21476,10308
Scott ,TN,8664,445,2795,2872,1283,1269
Sequatchie ,TN,5528,234,1341,2190,1142,621
Sevier ,TN,37210,1143,11653,14619,6580,3215
Shelby ,TN,351194,31752,135400,121614,43925,18503
Smith ,TN,7603,339,2204,2436,1682,942
Stewart ,TN,5178,197,1493,1777,1159,552
Sullivan ,TN,66511,4221,20150,24228,12088,5824
Sumner ,TN,67089,2380,18054,27576,12248,6831
Tipton ,TN,21452,760,5429,8460,4694,2109
Trousdale ,TN,3189,86,934,1290,691,188
Unicoi ,TN,7658,452,2323,3094,1094,695
Union ,TN,7405,315,2143,2557,1489,901
Van Buren ,TN,2141,151,622,668,425,275
Warren ,TN,15727,1170,4839,5562,2592,1564
Washington ,TN,53859,3420,17106,19924,9465,3944
Wayne ,TN,5764,353,1612,2110,1213,476
Weakley ,TN,13640,1057,4310,5052,2455,766
White ,TN,10048,497,3016,3600,1942,993
Williamson ,TN,77855,1596,14517,37370,16779,7593
Wilson ,TN,49664,1501,11795,20497,10056,5815
Anderson ,TX,16677,958,5963,6373,2337,1046
Andrews ,TX,5573,133,1944,1938,1023,535
Angelina ,TX,31035,1720,10428,12475,4826,1586
Aransas ,TX,9548,431,3594,3877,1206,440
Archer ,TX,3452,161,959,1432,613,287
Armstrong ,TX,694,11,138,246,208,91
Atascosa ,TX,15546,885,4609,5641,2777,1634
Austin ,TX,11301,560,2694,4382,2531,1134
Bailey ,TX,2054,105,732,778,285,154
Bandera ,TX,8399,112,2164,3741,1544,838
Bastrop ,TX,25571,1154,6119,10204,5222,2872
Baylor ,TX,1530,47,582,645,170,86
Bee ,TX,8269,621,3155,2700,1344,449
Bell ,TX,122689,7020,38865,52195,17595,7014
Bexar ,TX,636245,45571,222536,244732,87029,36377
Blanco ,TX,4343,120,1160,1798,799,466
Borden ,TX,227,10,57,99,51,10
Bosque ,TX,7211,215,1877,3037,1484,598
Bowie ,TX,34076,2308,12226,12458,5062,2022
Brazoria ,TX,121523,3619,31450,54630,21688,10136
Brazos ,TX,79412,4239,28921,29896,10845,5511
Brewster ,TX,4088,191,1370,1539,806,182
Briscoe ,TX,602,26,185,226,114,51
Brooks ,TX,2120,225,884,702,259,50
Brown ,TX,14409,691,4368,5832,2403,1115
Burleson ,TX,6810,276,1703,3137,1117,577
Burnet ,TX,16743,611,4674,7015,3152,1291
Caldwell ,TX,13460,576,4174,5247,2277,1186
Calhoun ,TX,7582,268,2283,3468,1249,314
Callahan ,TX,5367,182,1839,2003,935,408
Cameron ,TX,124605,8619,47814,44133,16759,7280
Camp ,TX,4605,293,1368,1841,679,424
Carson ,TX,2288,50,554,948,413,323
Cass ,TX,11934,924,3331,4233,2668,778
Castro ,TX,2532,213,679,871,445,324
Chambers ,TX,14069,460,3536,5682,2991,1400
Cherokee ,TX,18138,978,6176,6891,2704,1389
Childress ,TX,2407,136,1034,821,336,80
Clay ,TX,4105,95,1225,1425,947,413
Cochran ,TX,998,60,287,402,202,47
Coke ,TX,1644,53,535,612,279,165
Coleman ,TX,3423,161,1037,1462,446,317
Collin ,TX,341163,9475,98433,156163,54416,22676
Collingsworth ,TX,1035,62,316,331,223,103
Colorado ,TX,7450,401,1982,3509,990,568
Comal ,TX,51367,1705,12507,22396,10091,4668
Comanche ,TX,5487,255,1509,2190,1085,448
Concho ,TX,912,61,162,454,163,72
Cooke ,TX,15351,767,4436,6409,2579,1160
Coryell ,TX,22322,1027,7032,9454,3350,1459
Cottle ,TX,707,72,258,204,132,41
Crane ,TX,1421,28,419,523,342,109
Crockett ,TX,1354,18,459,508,219,150
Crosby ,TX,2061,153,579,811,403,115
Culberson ,TX,580,43,180,237,70,50
Dallam ,TX,2364,50,733,920,349,312
Dallas ,TX,928341,63477,339941,344522,124276,56125
Dawson ,TX,4322,456,1380,1442,763,281
Deaf Smith ,TX,6145,292,1859,2437,1023,534
Delta ,TX,1999,144,518,894,277,166
Denton ,TX,290229,7423,83427,131370,48614,19395
DeWitt ,TX,7048,412,2110,2734,1229,563
Dickens ,TX,845,72,330,211,193,39
Dimmit ,TX,3148,338,1099,1128,454,129
Donley ,TX,1335,30,539,411,248,107
Duval ,TX,3511,451,1273,1009,572,206
Eastland ,TX,6492,473,2484,2252,941,342
Ector ,TX,52530,2159,17378,20909,8131,3953
Edwards ,TX,789,15,307,301,90,76
Ellis ,TX,57307,1468,13677,23254,12567,6341
El Paso ,TX,268310,18691,87022,100273,42202,20122
Erath ,TX,13595,759,3775,5499,2570,992
Falls ,TX,5199,501,1878,1514,803,503
Fannin ,TX,12453,520,3801,4837,2049,1246
Fayette ,TX,9135,434,2187,3945,1774,795
Fisher ,TX,1601,72,580,582,248,119
Floyd ,TX,2271,126,749,715,484,197
Foard ,TX,533,27,114,273,73,46
Fort Bend ,TX,237883,5281,51485,116622,45467,19028
Franklin ,TX,3965,118,1133,1740,582,392
Freestone ,TX,6758,364,2092,2665,1198,439
Frio ,TX,4542,377,1691,1258,911,305
Gaines ,TX,5812,328,1476,2282,1111,615
Galveston ,TX,121438,6231,37608,50294,19145,8160
Garza ,TX,1543,72,298,763,243,167
Gillespie ,TX,10694,471,3175,4521,1692,835
Glasscock ,TX,403,0,32,180,151,40
Goliad ,TX,2727,233,722,980,571,221
Gonzales ,TX,7364,480,2242,2829,1267,546
Gray ,TX,7884,401,2545,3327,1021,590
Grayson ,TX,48454,2310,16292,17901,8177,3774
Gregg ,TX,45460,2983,15708,18506,6184,2079
Grimes ,TX,9011,308,2665,3838,1497,703
Guadalupe ,TX,54110,1405,13651,23779,10643,4632
Hale ,TX,10933,659,3646,4344,1768,516
Hall ,TX,1267,98,360,491,237,81
Hamilton ,TX,2989,53,751,1224,681,280
Hansford ,TX,1838,43,579,678,328,210
Hardeman ,TX,1596,88,554,570,269,115
Hardin ,TX,20626,889,5913,8967,3245,1612
Harris ,TX,1605368,95961,572063,623270,221933,92141
Harrison ,TX,23292,1248,7253,9389,3700,1702
Hartley ,TX,1678,3,545,770,242,118
Haskell ,TX,2146,173,764,808,277,124
Hays ,TX,73437,2098,20797,32051,12697,5794
Hemphill ,TX,1298,45,353,411,349,140
Henderson ,TX,30757,1673,9659,13071,4518,1836
Hidalgo ,TX,238345,14861,84431,86472,35278,17303
Hill ,TX,12992,699,3879,4864,2358,1192
Hockley ,TX,7997,433,2793,2738,1409,624
Hood ,TX,22152,578,7084,10383,2947,1160
Hopkins ,TX,13424,527,3606,5487,2718,1086
Houston ,TX,8252,580,2844,3247,1086,495
Howard ,TX,11064,708,4357,3778,1582,639
Hudspeth ,TX,978,36,375,387,105,75
Hunt ,TX,33189,2025,10075,12396,5685,3008
Hutchinson ,TX,6929,308,2031,2654,1264,672
Irion ,TX,682,10,224,254,159,35
Jack ,TX,3168,178,1036,1272,532,150
Jackson ,TX,4917,259,1439,1946,916,357
Jasper ,TX,12936,704,4734,5223,1593,682
Jeff Davis ,TX,1054,10,289,554,144,57
Jefferson ,TX,92988,6793,34994,35178,11172,4851
Jim Hogg ,TX,1626,175,741,455,188,67
Jim Wells ,TX,12987,939,4769,4583,1745,951
Johnson ,TX,57310,1123,16427,26910,8997,3853
Jones ,TX,5696,347,1845,2098,986,420
Karnes ,TX,4282,246,1423,1375,808,430
Kaufman ,TX,38015,1371,8744,16090,7762,4048
Kendall ,TX,14253,400,3353,6017,2881,1602
Kenedy ,TX,197,15,131,37,14,0
Kent ,TX,273,27,107,81,47,11
Kerr ,TX,21403,665,7191,9106,3538,903
Kimble ,TX,1783,74,564,687,264,194
King ,TX,77,0,21,37,13,6
Kinney ,TX,1337,73,654,358,215,37
Kleberg ,TX,10955,1090,4162,3844,1483,376
Knox ,TX,1375,53,519,514,246,43
Lamar ,TX,19793,1598,6774,7221,3018,1182
Lamb ,TX,4728,324,1315,1881,717,491
Lampasas ,TX,7807,394,2041,3294,1428,650
La Salle ,TX,2269,87,757,994,196,235
Lavaca ,TX,7826,446,2074,3122,1562,622
Lee ,TX,6036,235,1509,2359,1334,599
Leon ,TX,6443,266,1963,2735,1063,416
Liberty ,TX,26873,1616,8890,10706,3765,1896
Limestone ,TX,8377,375,2682,3279,1460,581
Lipscomb ,TX,1192,52,324,426,245,145
Live Oak ,TX,3752,150,1218,1654,527,203
Llano ,TX,8678,394,2720,3690,1399,475
Loving ,TX,30,0,5,25,0,0
Lubbock ,TX,113488,6205,39531,46091,15635,6026
Lynn ,TX,2154,174,687,785,413,95
McCulloch ,TX,3143,218,992,1171,560,202
McLennan ,TX,90054,5703,29933,34990,13340,6088
McMullen ,TX,270,11,72,124,35,28
Madison ,TX,4269,292,1290,1468,845,374
Marion ,TX,4715,234,1905,1482,841,253
Martin ,TX,1694,0,531,583,433,147
Mason ,TX,1696,51,565,677,246,157
Matagorda ,TX,13848,763,4527,5464,1946,1148
Maverick ,TX,16286,997,5167,6025,3058,1039
Medina ,TX,15682,771,3995,5572,3595,1749
Menard ,TX,1014,90,331,393,106,94
Midland ,TX,56998,2201,17411,22674,10484,4228
Milam ,TX,9228,490,2749,3600,1627,762
Mills ,TX,1790,79,466,810,318,117
Mitchell ,TX,2382,94,855,867,431,135
Montague ,TX,7800,344,2336,3091,1351,678
Montgomery ,TX,198649,6375,54794,87943,34320,15217
Moore ,TX,6733,348,1893,2549,1444,499
Morris ,TX,5117,361,1503,2108,771,374
Motley ,TX,489,17,146,166,81,79
Nacogdoches ,TX,23757,1599,8236,9158,3281,1483
Navarro ,TX,17338,1073,5130,6603,3395,1137
Newton ,TX,5315,337,1644,1972,1001,361
Nolan ,TX,5407,361,2071,1782,887,306
Nueces ,TX,129451,9674,45915,48703,17595,7564
Ochiltree ,TX,3483,47,1061,1450,669,256
Oldham ,TX,594,17,145,232,132,68
Orange ,TX,31694,1841,10078,12567,4850,2358
Palo Pinto ,TX,10255,648,3337,3624,1757,889
Panola ,TX,8637,347,2812,3529,1588,361
Parker ,TX,44263,1160,9564,20054,8950,4535
Parmer ,TX,3203,139,879,1106,680,399
Pecos ,TX,4656,217,1430,1763,817,429
Polk ,TX,18033,1022,5874,7102,2815,1220
Potter ,TX,44380,3603,16357,15667,5983,2770
Presidio ,TX,2543,290,1256,688,153,156
Rains ,TX,4330,150,1198,1769,769,444
Randall ,TX,49389,1320,15036,21318,8112,3603
Reagan ,TX,1084,42,284,459,231,68
Real ,TX,1126,53,399,500,81,93
Red River ,TX,4963,278,1554,1793,902,436
Reeves ,TX,3518,140,1112,1283,630,353
Refugio ,TX,2547,197,879,997,365,109
Roberts ,TX,301,12,35,144,71,39
Robertson ,TX,6444,549,1810,2616,956,513
Rockwall ,TX,33032,738,5982,15837,7110,3365
Runnels ,TX,3896,188,1179,1700,583,246
Rusk ,TX,18108,783,5300,7357,3585,1083
Sabine ,TX,4311,208,1196,1955,712,240
San Augustine ,TX,3451,253,1187,1308,514,189
San Jacinto ,TX,10043,290,3424,3904,1798,627
San Patricio ,TX,22898,1592,7495,8960,3467,1384
San Saba ,TX,2082,127,602,769,449,135
Schleicher ,TX,1075,32,312,462,159,110
Scurry ,TX,5941,275,2101,2283,883,399
Shackelford ,TX,1317,48,355,614,201,99
Shelby ,TX,9293,636,3045,3531,1352,729
Sherman ,TX,1019,24,288,376,233,98
Somervell ,TX,3123,61,661,1381,589,431
Starr ,TX,16188,1606,5798,5572,2143,1069
Stephens ,TX,3247,134,1010,1100,654,349
Sterling ,TX,458,4,192,115,119,28
Stonewall ,TX,580,20,199,199,99,63
Sutton ,TX,1412,61,519,551,195,86
Swisher ,TX,2505,196,744,958,408,199
Tarrant ,TX,708252,30441,220547,295863,114244,47157
Taylor ,TX,49868,2898,16759,21252,6471,2488
Terrell ,TX,418,3,184,127,77,27
Terry ,TX,4061,340,1307,1587,625,202
Throckmorton ,TX,668,28,245,255,76,64
Titus ,TX,10893,456,3083,4654,1828,872
Tom Green ,TX,43314,2499,15152,16902,6549,2212
Travis ,TX,472361,25816,175297,190638,58740,21870
Trinity ,TX,6030,423,2123,2565,636,283
Tyler ,TX,7100,478,2382,2829,1082,329
Upshur ,TX,14108,624,3929,5764,2545,1246
Upton ,TX,1332,121,354,532,216,109
Uvalde ,TX,8841,644,2928,3725,1085,459
Val Verde ,TX,15779,1017,5372,5714,2379,1297
Van Zandt ,TX,20156,692,5637,7735,4230,1862
Victoria ,TX,32255,2152,10313,13428,5035,1327
