State,Airport Name,Loc ID,Associated City,County,Enplane- ments2,HUB3,"Ozone
(8-Hour)4",CO,PM10  ,PM2.5,Note5,VALE Eligible,,,,,,,,,,,,,,
CO,San Luis Valley Regional/Bergman Field,ALS,Alamosa,Alamosa,"3,105",None,,,,,,No,,,,,,,,,,,,,,
CT,Bradley International,BDL,Windsor Locks,Hartford,"2,926,054",M,Moderate,Maintenance,,,,Yes,,,,,,,,,,,,,,
CT,Tweed-New Haven,HVN,New Haven,New Haven,"30,955",N,Moderate,Maintenance,Maintenance,Maintenance,,Yes,,,,,,,,,,,,,,
DE,New Castle,ILG,Wilmington,New Castle,"12,574",N,Marginal,,,Maintenance,,Yes,,,,,,,,,,,,,,
FL,Miami International,MIA,Miami,Dade,"20,986,349",L,,,,,,No,,,,,,,,,,,,,,
FL,Orlando International,MCO,Orlando,Orange,"18,759,938",L,,,,,,No,,,,,,,,,,,,,,
FL,Fort Lauderdale/Hollywood International,FLL,Fort Lauderdale,Broward,"13,061,632",L,,,,,,No,,,,,,,,,,,,,,
FL,Tampa International,TPA,Tampa,Hillsborough,"9,150,458",L,,,,,"A,C",No,,,,,,,,,,,,,,
FL,Southwest Florida International,RSW,Fort Myers,Lee,"4,159,215",M,,,,,,No,,,,,,,,,,,,,,
FL,Palm Beach International,PBI,West Palm Beach,Palm Beach,"3,113,591",M,,,,,,No,,,,,,,,,,,,,,
FL,Jacksonville International,JAX,Jacksonville,Duval,"2,716,473",M,,,,,,No,,,,,,,,,,,,,,
FL,Orlando Sanford International,SFB,Sanford,Seminole,"1,209,382",S,,,,,,No,,,,,,,,,,,,,,
FL,St Pete-Clearwater International,PIE,Clearwater,Pinellas,"819,974",S,,,,,,No,,,,,,,,,,,,,,
FL,Pensacola International,PNS,Pensacola,Escambia,"787,916",S,,,,,,No,,,,,,,,,,,,,,
FL,Sarasota/Bradenton International,SRQ,Sarasota,Sarasota,"607,449",S,,,,,,No,,,,,,,,,,,,,,
FL,Northwest Florida Beaches International,ECP,Panama City,Bay,"428,704",S,,,,,,No,,,,,,,,,,,,,,
FL,Punta Gorda,PGD,Punta Gorda,Charlotte,"421,162",S,,,,,,No,,,,,,,,,,,,,,
FL,Eglin AFB/Destin-Ft Walton Beach,VPS,Valparaiso,Okaloosa,"373,072",N,,,,,,No,,,,,,,,,,,,,,
FL,Key West International,EYW,Key West,Monroe,"362,108",N,,,,,,No,,,,,,,,,,,,,,
FL,Tallahassee International,TLH,Tallahassee,Leon,"332,777",N,,,,,,No,,,,,,,,,,,,,,
FL,Daytona Beach International,DAB,Daytona Beach,Volusia,"306,360",N,,,,,,No,,,,,,,,,,,,,,
FL,Melbourne International,MLB,Melbourne,Brevard,"220,393",N,,,,,,No,,,,,,,,,,,,,,
FL,Gainesville Regional,GNV,Gainesville,Alachua,"213,225",N,,,,,,No,,,,,,,,,,,,,,
FL,Northeast Florida Regional,SGJ,Saint Augustine,St. Johns,"22,030",N,,,,,,No,,,,,,,,,,,,,,
GA,Hartsfield - Jackson Atlanta International,ATL,Atlanta,Fulton,"49,340,732",L,Moderate,,,Maintenance,,Yes,,,,,,,,,,,,,,
GA,Savannah/Hilton Head International,SAV,Savannah,Chatham,"980,531",S,,,,,,No,,,,,,,,,,,,,,
GA,Augusta Regional at Bush Field,AGS,Augusta,Richmond,"271,915",N,,,,,,No,,,,,,,,,,,,,,
GA,Columbus,CSG,Columbus,Muscogee,"51,790",N,,,,,A,No,,,,,,,,,,,,,,
GA,Valdosta Regional,VLD,Valdosta,Lowndes,"39,544",N,,,,,,No,,,,,,,,,,,,,,
GA,Brunswick Golden Isles,BQK,Brunswick,Glynn,"34,561",N,,,,,,No,,,,,,,,,,,,,,
GA,Southwest Georgia Regional,ABY,Albany,Dougherty,"33,949",N,,,,,,No,,,,,,,,,,,,,,
GU,Guam International,GUM,Tamuning,Guam,"1,420,500",S,,,,,,No,,,,,,,,,,,,,,
HI,Honolulu International,HNL,Honolulu,Oahu,"9,479,094",L,,,,,,No,,,,,,,,,,,,,,
HI,Kahului,OGG,Kahului,Maui,"3,220,753",M,,,,,,No,,,,,,,,,,,,,,
HI,Lihue,LIH,Lihue,Kauai,"1,491,688",S,,,,,,No,,,,,,,,,,,,,,
HI,Kona International at Keahole,KOA,Kailua Kona,Hawaii,"1,485,777",S,,,,,,No,,,,,,,,,,,,,,
HI,Hilo International,ITO,Hilo,Hawaii,"627,171",S,,,,,,No,,,,,,,,,,,,,,
HI,Molokai,MKK,Kaunakakai,Molokai,"90,122",N,,,,,,No,,,,,,,,,,,,,,
HI,Lanai,LNY,Lanai City,Lanai,"40,599",N,,,,,,No,,,,,,,,,,,,,,
HI,Kalaupapa,LUP,Kalaupapa,Molokai,"8,576",None,,,,,,No,,,,,,,,,,,,,,
HI,Kalaeloa (John Rodgers Field),JRF,Kapolei,Oahu,"5,347",None,,,,,,No,,,,,,,,,,,,,,
HI,Waimea-Kohala,MUE,Kamuela,Hawaii,"4,930",None,,,,,,No,,,,,,,,,,,,,,
IA,Des Moines International,DSM,Des Moines,Polk,"1,156,462",S,,,,,,No,,,,,,,,,,,,,,
IA,The Eastern Iowa,CID,Cedar Rapids,Linn,"557,383",S,,,,,,No,,,,,,,,,,,,,,
